file_name,column_name,view_point,result,summary
DBDetectOutlier.csv,BANKCode,check_numeric,NG,41/42
DBDetectOutlier.csv,BANKCode,check_value_range,NA,/
DBDetectOutlier.csv,BANKCode,check_category,NG,10.5/7.04746
DBDetectOutlier.csv,BANKCode,check_length,OK,3.0/0.0
DBDetectOutlier.csv,KEIY_SEQ,check_numeric,OK,42/42
DBDetectOutlier.csv,KEIY_SEQ,check_value_range,NG,258583.69048/221992.9135
DBDetectOutlier.csv,KEIY_SEQ,check_category,OK,1.02439/0.15617
DBDetectOutlier.csv,KEIY_SEQ,check_length,NA,/
DBDetectOutlier.csv,CIF_NO,check_numeric,OK,42/42
DBDetectOutlier.csv,CIF_NO,check_value_range,NA,/
DBDetectOutlier.csv,CIF_NO,check_category,OK,0.18421/0.69185
DBDetectOutlier.csv,CIF_NO,check_length,NA,/
DBDetectOutlier.csv,LOGIN_PWD,check_numeric,NA,23/42
DBDetectOutlier.csv,LOGIN_PWD,check_value_range,NA,/
DBDetectOutlier.csv,LOGIN_PWD,check_category,NG,3.8/2.48998
DBDetectOutlier.csv,LOGIN_PWD,check_length,NA,/
DBDetectOutlier.csv,LOGIN_PWD_Date,check_numeric,NA,0/42
DBDetectOutlier.csv,LOGIN_PWD_Date,check_value_range,NA,/
DBDetectOutlier.csv,LOGIN_PWD_Date,check_category,OK,2.8/5.63408
DBDetectOutlier.csv,LOGIN_PWD_Date,check_length,NA,15.59524/0.93859
DBDetectOutlier.csv,User_PWD,check_numeric,NA,39/42
DBDetectOutlier.csv,User_PWD,check_value_range,NA,/
DBDetectOutlier.csv,User_PWD,check_category,NG,1.0/1.0
DBDetectOutlier.csv,User_PWD,check_length,NA,/
DBDetectOutlier.csv,CreateDate,check_numeric,NA,10/42
DBDetectOutlier.csv,CreateDate,check_value_range,NA,/
DBDetectOutlier.csv,CreateDate,check_category,OK,6.4/12.6412
DBDetectOutlier.csv,CreateDate,check_length,NA,/
DBDetectOutlier.csv,Email,check_numeric,NA,0/42
DBDetectOutlier.csv,Email,check_value_range,NA,/
DBDetectOutlier.csv,Email,check_category,OK,14.0/22.51666
DBDetectOutlier.csv,Email,check_length,NG,8.0/4.52635
DBDetectOutlier.csv,STRT_YMD,check_numeric,OK,42/42
DBDetectOutlier.csv,STRT_YMD,check_value_range,OK,20143245.38095/4284.7158
DBDetectOutlier.csv,STRT_YMD,check_category,OK,1.23529/0.43056
DBDetectOutlier.csv,STRT_YMD,check_length,NA,/
DBDetectOutlier.csv,STOP_YMD,check_numeric,OK,42/42
DBDetectOutlier.csv,STOP_YMD,check_value_range,NA,/
DBDetectOutlier.csv,STOP_YMD,check_category,OK,2.90909/9.64836
DBDetectOutlier.csv,STOP_YMD,check_length,NA,/
DBDetectOutlier.csv,T_DT,check_numeric,NA,39/42
DBDetectOutlier.csv,T_DT,check_value_range,NA,/
DBDetectOutlier.csv,T_DT,check_category,OK,1.5/2.12132
DBDetectOutlier.csv,T_DT,check_length,NA,/
DBDetectOutlier.csv,MAIL_STOP_DT,check_numeric,NA,29/42
DBDetectOutlier.csv,MAIL_STOP_DT,check_value_range,NA,/
DBDetectOutlier.csv,MAIL_STOP_DT,check_category,OK,2.6/4.15933
DBDetectOutlier.csv,MAIL_STOP_DT,check_length,NA,/
